2
12 17

16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
31 31 31 4  16 3  31 31 31 31 4  16 16 3  31 31 31
1  1  2  15 14 17 0  1  1  2  15 16 16 17 0  1  1
16 14 17 30 31 32 15 14 14 17 15 14 14 17 15 14 16
16 16 18 1  1  1  19 16 16 17 30 31 31 32 15 16 16
16 16 16 14 13 14 16 16 16 18 1  1  1  1  19 16 16

16 16 3  31 31 31 31 4  16 16 16 13 14 13 16 16 16
16 16 17 0  1  1  2  15 16 16 3  31 31 31 4  16 16
16 13 17 15 13 13 17 15 13 13 17 0  1  2  15 13 16
31 31 32 15 16 16 17 30 31 31 32 15 13 17 30 31 31
1  1  1  19 16 16 18 1  1  1  1  19 16 18 1  1  1
16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16

1 0

9 16
